Año,Trimestre,Tipo_entidad,Nombre_entidad,Procedimiento,Tipo de contrato,Número,Importe
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,4.0,1737192.26
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Gestió Serveis Públics/Concessions,1.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,5.0,488494.64
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,18.0,924598.61
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,1.0,74778.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,96793.94
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,14.0,326704.21
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,11.0,394689.88
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Serveis,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Subministraments,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,3.0,24062.4
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Serveis,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Subministraments,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Serveis,6.0,492469.33
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Subministraments,3.0,223920.63
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,141.0,4832132.15
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,31.0,40700.51
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,59.0,2090516.82
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,545.0,5271267.05
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,111.0,836692.31
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,16.0,189968.97
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,366.0,290107.29
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Subministraments,417.0,183828.15
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Privats de l'Administració,10.0,5025.03
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Serveis,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Subministraments,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,72.0,65419.67
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Subministraments,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,2.0,41709.7
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Subministraments,0.0,0.0
