unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001097,2022,assesorament contractació oficina tècnica webs,6013.7,2022-04-14,2022-08-31,CONNEX STAFF SL,B55546634
Gerència d’Innovació i Transició Digital,Serveis,22001527,2022,Anàlisi omnicanalitat model adm electrònica,17956.4,,,CONNEX STAFF SL,B55546634
Districte d' Horta-Guinardó,Serveis,22001319,2022,Dinamització col•lectius i entitats joves,18112.13,2022-05-10,2022-05-30,CONSELL JOVENTUT DTE. VIIHORTA,G59168641
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001326,2022,Serveis mèdics Tribunals Mèdics,14999.99,2022-04-22,2022-12-31,CONSORCI MAR PARC SALUT BCN,S0800471E
Districte de Nou Barris,Obres,22002018,2022,OBRES MILLORA D'ACCESSIBILITAT PL. HARRY WALKER,48395.03,2022-06-22,2022-12-31,CONSTRAULA ENGINYERIA I OBRES,A58142639
Districte de l'Eixample,Obres,22002213,2022,Obres adequació vestidors CEM Fort Pienc,13099.28,,,CONSTRAULA ENGINYERIA I OBRES,A58142639
Districte de l'Eixample,Obres,22002214,2022,Obres enderroc del mur Av.Paral·lel 100-102B i 102,14541.04,,,CONSTRAULA ENGINYERIA I OBRES,A58142639
Districte de Ciutat Vella,Obres,22002271,2022,Ref/ren planta baixa Biblioteca la Fraternitat,46384.32,2022-06-30,2022-09-15,CONSTRUCCIONES Y SERVICIOS FAU,A58869892
Districte de Ciutat Vella,Obres,22001312,2022,TREBALLS DE PINTURA PER PARADES SANT JORDI,1727.88,2022-04-19,2022-05-19,CONSTRUCCIONES Y SERVICIOS FAU,A58869892
Districte de Sant Andreu,Serveis,22001622,2022,Servei de dinamització comercial Mercat Bon Pastor,8994.35,2022-05-16,2022-12-31,COODIN S.C.C.L,F66937319
Districte de Ciutat Vella,Serveis,22001572,2022,Serv. formació monitor activ. lleure infantil,5950.0,2022-05-12,2022-08-30,COOP. ESCOLA LLIURE EL SOL SCC,F59914994
Gerència de Pressupostos i Hisenda,Serveis,22002023,2022,Anàlisi per a la revisió/actualització taxa gual,17242.5,,,COORDINADORA DE GESTION INGRES,A81982225
Districte de Ciutat Vella,Obres,22001390,2022,Adequació normativa grau 2 seguretat dos edificis,21862.28,2022-04-29,2022-09-29,COORDINADORA SERVICIOS DE SEGU,B65812968
Districte d' Horta-Guinardó,Serveis,22001268,2022,V - Coord Seg i Salut obres equipaments HG,12674.75,2022-05-06,2022-12-31,"COPREDIJE, S.A.",A82003815
Districte de l'Eixample,Serveis,22001644,2022,CSS Obres tancament laterals Bibl.Joan Miró,1329.62,,,"COPREDIJE, S.A.",A82003815
Districte de Ciutat Vella,Serveis,22001189,2022,Proj. impermeabilització coberta CI Andrea Dòria,6043.95,2022-04-12,2022-05-13,COTCA SA,A08574816
Districte d' Horta-Guinardó,Obres,22001732,2022,"M - Arranjament vorera c. Arquitectura, 8",45452.6,2022-06-08,2022-07-08,"CRC OBRAS Y SERVICIOS, S.L.",B15387855
Districte de Ciutat Vella,Serveis,22001573,2022,Serv. punt info i formació violències masclistes,4270.0,2022-05-12,2022-07-29,CREACION POSITIVA,G62659230
Districte de Gràcia,Obres,22001689,2022,Obres de modificació distribució Dep. S. Jurídics,10402.36,2022-06-08,2022-07-24,CREPROJECTS SOLUCIONES Y PROYE,B16968042
Districte de Gràcia,Obres,22001783,2022,Obres de millora vestíbul UT Guàrdia Urbana Gràcia,12701.76,2022-05-23,2022-12-31,CREPROJECTS SOLUCIONES Y PROYE,B16968042
Districte de Nou Barris,Subministraments,22001273,2022,SUBMINISTRAMENT BANYADOR IL·LUMINACIÓ CC CAN BASTÉ,9210.76,2022-04-14,2022-07-18,CROQUIS DISSENYS MUNT.REALITZA,A08757957
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001343,2022,Serveis i subm. realització i edició material expo,17137.47,2022-04-27,2022-12-31,CROQUIS DISSENYS MUNT.REALITZA,A08757957
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001989,2022,Intervenció tècnica de retorn dels resultats de l’,242.0,2022-06-14,2022-12-31,CUALTIS S.L,B84527977
Districte de Les Corts,Serveis,22001491,2022,Punts liles i actes contra la violència masclista,6328.3,2022-05-04,2022-12-31,CURCUMA SCCL ACCIO DIVERSITAT,F67128397
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001059,2022,Estudi viabilitat Xec Servei,12438.8,2022-04-05,2022-07-31,D'ALEPH INICIATIVA Y ORGANIZAC,A63141170
Districte de Nou Barris,Serveis,22002017,2022,REDAC. AVANTPROJ. CONSTRUCCIÓ VESTIDORS CF TURÓ PE,18039.95,2022-06-22,2022-08-22,DATA ARQUITECTURA I ENGINYERIA,B64454770
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001980,2022,Adaptació peces de comunicació promoció econòmica,14175.39,,,DDLAB INNOVACIÓN GESTIÓN Y DES,B64085954
Gerència de Recursos,Serveis,22001071,2022,Servei d'assessorament dret supeficie,15730.0,,,DE PASQUAL & MARZO ABOGADOS SL,B62309323
Districte de l'Eixample,Obres,22001466,2022,"Obres reforma local Mallorca, 424",34266.31,,,DECLINAM SL,B65874059
Districte de Sant Andreu,Obres,22001682,2022,"OBRES CLIMATITZACIO LOCAL MPAL. BISCAIA, 402",47673.46,2022-05-19,2022-07-19,DECLINAM SL,B65874059
Gerència de Pressupostos i Hisenda,Serveis,22001395,2022,Assessorament suports publicitari,17545.0,,,DEEYNET SLU,B88515150
Districte de Ciutat Vella,Obres,22001733,2022,Retirada quiosc Pl. Pes de la Palla CV,1149.5,2022-05-23,2022-07-30,"DELTAPUNT 3000, S.A.",A61110359
Districte de Ciutat Vella,Serveis,22001485,2022,Estudi mobilitat Jaume I CV,5927.95,2022-05-09,2022-06-09,DESARROLLO ORGANIZACION Y MOVI,A61722740
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001396,2022,Actualització web Ateneus,4646.4,,,DESIGN & SOLUTIONS INTHE NETWO,B64190408
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002012,2022,Actualització xatbot fons infància 0-16,5863.49,2022-06-09,2022-06-22,DIGITAL INNSTINCT SL,B67504670
Districte de Sants-Montjuïc,Serveis,22002224,2022,Serveis de distribució de cartelleria,5929.0,2022-06-30,2022-12-31,DISTPUBLIC SERVICIOS PUBLICIDA,B60988078
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000893,2022,Contracte programació activitats Dia del Joc,13522.96,2022-04-14,2022-12-31,"DIVERSPORT SPORT MANAGEMENT, S",B17711474
Districte d' Horta-Guinardó,Serveis,22002078,2022,Joc a les places,4999.97,2022-06-29,2022-08-31,"DIVERSPORT SPORT MANAGEMENT, S",B17711474
Districte de Nou Barris,Obres,22002242,2022,OBRES SOTERRAMENT LÍNIA ELÈCTRICA C/ LLERONA 47-77,47292.84,2022-07-01,2022-10-03,DOICA GESTIÓN SL,B64659758
Gerència de Recursos,Serveis,22001333,2022,Redacció projecte i DO millora ventilació SEDAC,11495.0,,,DOSGEUVEARQUITECTURA SLP,B63676738
Districte de Les Corts,Serveis,22001712,2022,Coordinació i producció Mostra de comerç Diagonal,4083.75,2022-05-18,2022-07-31,DREAMS&ARTS SCCL,F66682543
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001890,2022,distribució cartells i fulletons campanyes SiP,7441.5,2022-06-04,2022-12-31,"DROPEL XXI,S.L",B62395058
Gerència d'Area d'Ecologia Urbana,Serveis,22001546,2022,Servei d’assessorament jurídic-urbanístic,10890.0,2022-05-17,2022-07-18,DUATIS ARQUITECTES SLP,B55025936
Gerència de Mobilitat i Infraestructures,Serveis,22001745,2022,Assistència tècnica per la recepció de projectes,18095.55,2022-06-01,2022-08-01,E3 SOLINTEG S.L.,B65281131
Districte d' Horta-Guinardó,Obres,22001726,2022,G - Reparació fusteries CC Guinardó Pl.1,47591.72,2022-06-03,2022-08-03,"EBANISTERIA G.H.G., S.L.",B60470168
Districte de Ciutat Vella,Serveis,22001149,2022,MV+DO+CSS Font i mobiliari Pl. George Orwell,3025.0,2022-04-04,2022-12-31,ECSA ENGINYERIA SLP,B66939778
