unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte d' Horta-Guinardó,Obres,22001507,2022,SG - Inst elements protecció esc c. Cànoves,21097.22,2022-05-25,2022-07-25,"INFRAESTRUCTURAS TRADE, S.L.",B65866006
Gerència de Mobilitat i Infraestructures,Serveis,22002218,2022,Aixecament topografic Rbl. Badal i Brasil,15596.9,2022-06-27,2022-09-28,INFRAPLAN BARCELONA SL,B62687140
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001342,2022,Projecte executiu pavimentació edifici C/Tànger,17432.39,2022-04-27,2022-12-31,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte de Gràcia,Serveis,22001356,2022,"Redacció legalització nova bomba calor F.Giner, 46",1529.44,2022-04-29,2022-05-29,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte de Nou Barris,Serveis,22001501,2022,REDAC. PROJ. OBRES REPAVIMENTACIÓ CARRER BATLLORI,18089.5,2022-05-06,2022-06-06,INGENIEROS EMETRES S.L.P.,B60626397
Districte de Sant Martí,Serveis,22001690,2022,Serveis projecte semaforitzacio C.Avila i Trueta,9317.0,2022-05-25,2022-07-25,INGENIEROS EMETRES S.L.P.,B60626397
Gerència de Recursos,Serveis,22001192,2022,Servei tècnic control sala Taula de Coordinació,816.75,,,INICIATIVES EVENTS SL,B64709363
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001481,2022,serveis tècnics,14520.0,2022-05-10,2022-12-31,INICIATIVES EVENTS SL,B64709363
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001739,2022,30 anys dels JJOO,17908.0,,,INICIATIVES EVENTS SL,B64709363
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002043,2022,Pla actuació impacte covid en persones grans,5445.0,2022-06-13,2022-09-12,INICIATIVES I DINAMIQUES COMUN,B63912026
Gerència de Recursos,Subministraments,22002171,2022,Subm 31 cadires antiestàtiques OAC Sant Miquel,9468.99,,,INSERTY INSTAL·LACIONS S.,B63321954
Districte de Nou Barris,Serveis,22001107,2022,RED. PROJ. 4 PROJ MANTENIMENT I MILLORA VP DTE 9B,15972.0,2022-04-05,2022-12-31,INSPECCION I CONTROL DE INSTAL,A82019258
Districte de Nou Barris,Serveis,22002166,2022,SERV. ASSIST. TÈC. 5 PROJ. VIA PUBLICA DEL DISTRIC,10043.0,2022-06-22,2022-11-25,INSPECCION I CONTROL DE INSTAL,A82019258
Gerència de l'Arquitecte en Cap,Serveis,22001748,2022,A.T. Aval. impacte econòmic 4 eixos verds Eixample,5922.95,2022-06-02,2022-07-03,INST.ESTUDIS REGIONALS METROPO,P0800013E
Gerència de Recursos,Subministraments,22001324,2022,Compra cadires operatives Dir. Exec. Comunicació,3874.78,,,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22001766,2022,Subm. cadires oficina Guardia Urbana i Districte,6644.11,2022-06-09,2022-07-31,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22001886,2022,Adq. taules plegables Casal de Barri del Raval,2202.2,2022-06-09,2022-07-31,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de l'Eixample,Subministraments,22002223,2022,Adquisició de mobiliari per Espais de Gen Grant,2090.88,,,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Sant Andreu,Serveis,22001570,2022,RED.PROJ.TEC.MILLORES COND.I EFIC.CAMP DEL FERRO,17182.0,2022-05-16,2022-08-16,INSTAL·LACIONS ARQUITECTÒNIQUE,B59860775
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001391,2022,Compra i manteniment plantes OND,1287.87,2022-04-26,2022-12-31,INSTITUT MUNICIPAL PARCS I JAR,P5801914B
Districte de Les Corts,Serveis,22001876,2022,Comerç i Turisme Inclusiu i Responsable les Corts,10648.0,2022-05-31,2022-12-31,"INSTITUT QUIMIC DE SARRIA,",G58022849
Districte de Sant Martí,Subministraments,22001296,2022,Subministrament equips audiovisuals,15344.01,2022-05-04,2022-12-31,INTEGRACIO SISTEMAS AUDIOVISUA,B67093088
Districte de Les Corts,Serveis,22001432,2022,SERVEIS AUXILIARS MAIG 2022,6974.88,2022-05-01,2022-05-31,INTEGRACIÓN SOCIAL MINUSVÁLIDO,B61098638
Districte de Nou Barris,Subministraments,22001500,2022,LLICÈNCIES OFFICE AULES INFORMÀTICA TRINITAT NOVA,5662.8,2022-05-06,2022-07-08,"INTEGRAPMC, SL",B64753049
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001367,2022,Prototip de web dades de locals en planta baixa,5360.3,,,INTERDIGITAL CORP. TECNOLOGICA,B61819785
Districte de Nou Barris,Serveis,22001893,2022,CONNEXIÓ TELÓ TALLAFOC A LA CENTRAL CC ZONA NORD,1977.66,2022-06-03,2022-08-08,INV PROTECCION SL,B85582013
Gerència Persones i Desenv. Organitzatiu,Serveis,22001736,2022,"Disseny gràfic, web gestió inscripcions Esc.Estiu",15609.0,,,INVITA EVENTS MANAGEMENT SL,B97963219
Districte d' Horta-Guinardó,Serveis,22001847,2022,FF - Red Proj soterrament línies Font Fargas,7502.0,2022-06-29,2022-08-29,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte d' Horta-Guinardó,Serveis,22001848,2022,CB - Red Proj soterrament línies Can Baró,7502.0,2022-06-28,2022-08-28,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de Nou Barris,Serveis,22001955,2022,REDAC. 2 PROJ. CONSTRUCTIUS DE MILLORA DE LA V.P.,9680.0,2022-06-08,2022-08-08,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de Sant Andreu,Serveis,22001971,2022,MEMORIES VALORADES ACTUACIONS ESPAI PUBLIC,18119.75,2022-06-07,2022-12-31,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte d' Horta-Guinardó,Serveis,22001860,2022,Foment de l'igualtat,6024.59,2022-06-14,2022-12-31,"IQEMBU, S.L.",B42953208
Districte de Nou Barris,Serveis,22002151,2022,ACTUACIÓ MUSICAL,716.32,2022-07-01,2022-07-31,"JAM SESSION ENSEÑANZA MUSICAL,",B63018162
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001455,2022,Serveis de migració del CPD del simulador d'ajudes,4900.5,2022-05-06,2022-09-30,JAMGO PRODUCTES I SERVEIS INFO,F65533259
Districte de Sant Andreu,Serveis,22002014,2022,Ass. jurídic servitud pas c/ Gran St Andreu 202,5082.0,2022-06-20,2022-12-31,"JANE ADVOCATS, SLP",B63143622
Districte de Sant Martí,Serveis,22001844,2022,Servei DO reforma parcial al CB La Verneda,6897.0,,,JANE FONT SL,B55301253
Districte de Les Corts,Serveis,22001426,2022,Cursa Orientació Accessible 2022,5400.0,2022-04-29,2022-10-31,JOCVIU ASSOCIACIO,G63645808
Districte de Gràcia,Serveis,22002161,2022,Suport gestió i tramitació actes espai públic,17545.0,2022-06-27,2022-12-31,JOLSSEN EVENTS SCP,J01826296
Gerència d'Urbanisme,Serveis,22001852,2022,Valoració dues finques afectades ubicacio tanatori,11495.0,2022-06-20,2022-07-21,JONES LANG LASALLE ESPAÑA SA,A78492303
Gerència d'Urbanisme,Serveis,22001909,2022,Seguiment i control tasques realitzades per ECAs,17599.45,2022-06-23,2022-12-31,KPMG ASESORES SL,B82498650
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000968,2022,Hidrògen a la Ciutat de Barcelona,16456.0,,,KPMG ASESORES SL,B82498650
Gerència Persones i Desenv. Organitzatiu,Serveis,22002267,2022,Catèring Escola Estiu,5398.25,,,"KTRING DE LA PEPI, S.L.",B67401539
Districte de Nou Barris,Serveis,22002126,2022,SUPORT A LA REACTIVACIÓ DE LOCALS A 9B,16395.5,2022-06-22,2022-12-31,KUDA ARQUITECTURA Y DISEÑO SL,B65369209
Gerència de Pressupostos i Hisenda,Serveis,22001052,2022,Aprovació comptes 2021 entitats vot electrònic,17545.0,,,KUORUM SOCIAL SL,B86761459
Districte de Sarrià - Sant Gervasi,Serveis,22001987,2022,Reg anti-pols i reg talussos vegetats Collserola,13492.11,2022-06-13,2022-08-31,LA CYCA Projects & Services,B63876494
Districte de Ciutat Vella,Serveis,22001509,2022,Servei ambulàncies esdeveniments a la via pública,4942.0,,,LA PAU SCCL,F08828493
Gerència Medi Ambient i Serveis Urbans,Serveis,22001663,2022,Acte reconeixement entitats B+S i act. ciutadanes,16698.0,2022-05-17,2022-09-29,LA TAULA SCCL,F60611977
Gerència de Recursos,Privat d'Administració Pública,22001735,2022,Subscripcions corporatives La Vanguardia 2022,27119.31,,,LA VANGUARDIA EDICIONES S.L.,B61475257
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001351,2022,"Adaptació logotip ""Agenda 2030 de Barcelona. Quede",472.23,,,"LAGRAFICA CREATIVE EXPERIENCE,",B25826603
Districte d' Horta-Guinardó,Serveis,22001699,2022,M - Red A.P. i P.E. mobilitat Ctra Alta Roquetes,15693.7,2022-06-01,2022-09-01,LANDEM PROJECT MANAGEMENT SL,B67215038
Districte de Nou Barris,Serveis,22002240,2022,REDAC. PROJ LLICÈNCIA AMBIENTAL CBARRI COSA NOSTRA,16117.2,2022-07-01,2022-10-03,LANDEM PROJECT MANAGEMENT SL,B67215038
Gerència d'Area d'Ecologia Urbana,Subministraments,22001959,2022,Creació i disseny recurs educatiu,5324.0,2022-06-13,2022-12-31,LAVOLA 1981 SAU,A58635269
Districte de Nou Barris,Serveis,22002122,2022,ACTIVITATS D'ESTIU,11724.9,2022-06-22,2022-09-22,LAVOLA 1981 SAU,A58635269
Gerència Medi Ambient i Serveis Urbans,Serveis,22002227,2022,"Redacció continguts ""La ciutadania pel clima""",10164.0,2022-06-29,2022-09-30,LAVOLA 1981 SAU,A58635269
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001613,2022,AT tramit modificació Ordenança Prot. d’Animals,16915.8,,,"LEGAL STRENGTHS,SL",B64972888
Districte de l'Eixample,Serveis,22001488,2022,Redac.proj.entorns escoles l'Arbret i els Llorers,10635.9,,,LEKU STUDIO  SLP,B67346841
Gerència de l'Arquitecte en Cap,Serveis,22001677,2022,Millora act. tàctiques xamfrans Eixample escoles,16335.0,2022-05-28,2022-08-29,LEKU STUDIO  SLP,B67346841
Districte de Les Corts,Serveis,22001727,2022,"Coordinació, Regidoria i Assistència FM 2022",11132.0,2022-05-19,2022-12-31,L'ESPECTACLERIA SL,B66048034
Districte de Nou Barris,Serveis,22001476,2022,ACTIVITATS FAMILIARS DE PRIMAVERA,11034.6,2022-05-04,2022-06-06,L'ESPECTACLERIA SL,B66048034
Districte de Les Corts,Subministraments,22001541,2022,FABRICACIÓ I INSTAL·LACIÓ FARISTOL I PLAQUES ROSES,14520.0,2022-05-09,2022-05-31,LETTERS INSTALACIONES BARCELON,B66359886
Districte de Les Corts,Subministraments,22002001,2022,FABRICACIÓ I INSTAL·LACIÓ PLACA PI I SUPORT JULI B,2747.91,2022-06-08,2022-08-29,LETTERS INSTALACIONES BARCELON,B66359886
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22002075,2022,Consultoria Barcelona ISE Capital,17908.0,,,"LIQUID MATHS, S.L.",B67203620
Gerència de Recursos,Serveis,22001801,2022,Trasllat i inventari fons TV locals Districte,9236.22,,,LOGISDOC SERVEIS INTEGRALS S.L,B66033150
Districte de Sant Andreu,Serveis,22001359,2022,Tractament xilòfags en 3 equipaments,5313.11,2022-04-29,2022-12-31,LOKIMICA SA,A03063963
Districte de Nou Barris,Serveis,22001465,2022,DESRATITZACIÓ PER PLAGA LOCAL C.ROBERT ROBERT,423.5,2022-05-04,2022-07-04,LOKIMICA SA,A03063963
Gerència Municipal,Serveis,22001468,2022,Actualització Portal Mapa Actuacions Municipals,18089.5,,,LOVELYMAPS S.L.U.,B66855792
Districte de Sant Andreu,Serveis,22001713,2022,Suport tramitació administrativa de subvencions,5988.7,2022-05-19,2022-07-10,"LUDIC 3, S.C.C.L.",F60475902
Districte de Gràcia,Obres,22002156,2022,Obres de millora accessibilitat carrer Farigola,48242.3,2022-07-18,2022-08-18,"M. I J. GRUAS, S.A.",A25031576
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001355,2022,col·locació lona,1767.69,2022-04-27,2022-05-16,"M.M. BARCELONA, S.L. -MARC MAR",B60001013
Districte de Gràcia,Serveis,22001055,2022,Dinamització comunitària Font del Carbó,4840.0,2022-04-27,2022-10-31,M.U.L.A. MASOVERIA URBANA PER,G66498858
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001298,2022,Coordinació GA Creative Futures (KIC),7260.0,,,MAHALA COMUNICACION Y RELACION,B61163168
Districte de Nou Barris,Subministraments,22001186,2022,SUBMINISTRE I INSTAL. POSTES I MALLA CF CANYELLES,18147.58,2022-04-07,2022-06-10,"MALLA RAPID SL "" EN CONST.""",B65314502
Gerència de Recursos,Serveis,22001078,2022,"Disseny, producció, coordinació Exposició 1888",15246.0,,,"MANEL TERRON COMUNICACIÓ, SL",B62805197
Gerència de Recursos,Serveis,22001412,2022,ANIMACIONS BARCELONA WITH YOU PER CONGRÉS ISE,9758.65,2022-05-03,2022-08-03,MANSON STUDIOS SL,B66730854
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001057,2022,Submin. bosses  i cinta d’abalisament per la GUB,8470.0,2022-04-08,2022-12-31,MANUFACTURA POLITENO SL,B08863532
Districte de Gràcia,Subministraments,22001782,2022,Subministrament passamans Poliesportiu Comellas,2516.8,2022-06-01,2022-08-01,MAPEMA METALISTERIA SL,B66165531
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22001639,2022,Trasformació 17 patis escoles de la ciutat,14787.47,2022-05-20,2022-11-11,"MARINVA SERVEIS I PROJECTES, S",B60921723
Districte de Nou Barris,Serveis,22001128,2022,RED. PROJ. URBANITZACIO ILLA SUD PARC CAN DRAGO,15125.0,2022-04-05,2022-08-05,"MCS SMART DUTY, SLP",B66186461
Gerència de Recursos,Serveis,22001101,2022,Servei càtering pausa cafè Taula Coordinació,1152.91,,,MENJADOR CA LA ROSA SCCL,F66502881
Gerència de Mobilitat i Infraestructures,Serveis,22001388,2022,Redacció projectes galeries 22@,17073.1,2022-05-04,2022-09-05,"META ENGINEERING, S.A",A08646226
Districte d' Horta-Guinardó,Serveis,22001230,2022,SG - Red Proj exec urb. zona verda av Elies Pagès,17980.6,2022-04-27,2022-08-29,"META ENGINEERING, S.A",A08646226
Districte d' Horta-Guinardó,Serveis,22001846,2022,BG - Red P.E. millora cruïlla Lepant-Llorens i Bar,11253.0,2022-06-29,2022-08-29,"META ENGINEERING, S.A",A08646226
"Ger. Drets Socials, Just. Global, Femini",Subministraments,22001525,2022,Senyalística corporativa Centres Drets Socials,5989.5,2022-05-06,2022-12-31,"METALART, SCCL",F66206376
Districte de Ciutat Vella,Subministraments,22001369,2022,Adq. equip. aux. Biblioteca Sant Pau-Santa Creu,4153.57,2022-05-11,2022-06-30,"METALUNDIA, S.L.",B18592139
Districte de l'Eixample,Subministraments,22001452,2022,Subministrament bústia llibres Bibli.Sofia Barat,3557.09,,,"METALUNDIA, S.L.",B18592139
Districte de l'Eixample,Subministraments,22001526,2022,Adquisició mobiliari biblioteques,4555.23,2022-06-13,2022-12-31,"METALUNDIA, S.L.",B18592139
Districte de Gràcia,Subministraments,22001832,2022,Subministrament bens mobles inventariables,14098.0,2022-06-17,2022-12-31,"METALUNDIA, S.L.",B18592139
Districte de Ciutat Vella,Subministraments,22001836,2022,Adq. equip. aux. Biblioteca F. Bonnemaison,1181.08,,,"METALUNDIA, S.L.",B18592139
Gerència de Recursos,Obres,22001282,2022,Substitució vidres claraboia Nou i passadis Novíss,31534.16,,,MIATEC INNOVA SL,B62792783
Districte de Ciutat Vella,Serveis,22001205,2022,Actuacions forats anti coloms Pistes La Maquinista,5386.8,2022-04-12,2022-05-13,MIATEC INNOVA SL,B62792783
Districte de Nou Barris,Serveis,22001661,2022,SUPORT EN EL MUNTATGE D'ACTIVITATS FESTIVES,4787.97,2022-05-16,2022-06-17,MIATEC INNOVA SL,B62792783
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001686,2022,Serv. manteniment sostres gàbies gossos CAACB,5567.52,,,MIATEC INNOVA SL,B62792783
Districte de Ciutat Vella,Serveis,22002060,2022,Neteja graffitis Arxiu Districte i Escola Bressol,2609.18,2022-06-14,2022-08-31,MIATEC INNOVA SL,B62792783
Districte de Nou Barris,Serveis,22001937,2022,SUBM. I COL.LOCACIÓ COMPONENTS MÒDUL PARC AQÜEDUCT,11482.9,2022-06-03,2022-09-05,"MICROARQUITECTURA, SL",B60760386
"Ger. Drets Socials, Just. Global, Femini",Subministraments,22001681,2022,Subministrament carregadors i adaptadors portàtils,5967.72,2022-05-17,2022-12-31,"MIJOMI, SCCL",F62154968
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001528,2022,Redacció Avantprojecte del CDIAP C/Aiguablava,13385.02,2022-05-06,2022-12-31,MIP MARI ARQUITECTURA I DISSEN,B64371768
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001435,2022,Suport Justificació Subvencions 101 i 141,17605.5,,,"MIRALLES & SERRA ASSESSORS, S.",B63584247
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002258,2022,Jornada de debat sobre l’àmbit de l'Alzheimer,14863.64,2022-06-29,2022-11-30,MOMENTUM LAB S.L,B66621061
Gerència de Recursos,Serveis,22001571,2022,Muntatge i lloguer grup electrogen pl. 3 Mediatic,14328.94,,,MORILLO ENERGY RENT SAU,A08659617
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001483,2022,Submin. Uniformitat motorista GUB,11147.0,2022-05-11,2022-12-31,"MOTOCARD BIKE, SL",B61643540
Districte de l'Eixample,Serveis,22001913,2022,Trasllat caixes arxiu definitiu,2167.11,2022-06-07,2022-06-30,MUDANZAS Y TRANSPORTES BARRIOS,B63213136
Districte de Sarrià - Sant Gervasi,Serveis,22001792,2022,Havaneres Pl. Wagner,1391.5,2022-05-25,2022-12-31,MUSICS DE CATALUNYA SCCL,F17678640
Districte de Sarrià - Sant Gervasi,Serveis,22001126,2022,"planificació,programacio i imparticio de formacio",1628.0,2022-04-05,2022-12-31,"NASCOR FORMACION, SLU",B65187569
Districte de Sarrià - Sant Gervasi,Serveis,22001361,2022,Projecte millora ambiental riera Vallvidrera,16117.2,2022-04-26,2022-08-31,NATURALEA CONSERVACIÓ S.L.,B61014312
Districte de Sarrià - Sant Gervasi,Obres,22001562,2022,Protecció provisional tram escales c.Gírgola,44640.82,2022-05-11,2022-09-30,NATURALEA CONSERVACIÓ S.L.,B61014312
Districte de Nou Barris,Obres,22001692,2022,OBRES TANCA VEGETAL VORES REC COMTAL VALLBONA,35246.61,2022-05-17,2022-07-18,NATURALEA CONSERVACIÓ S.L.,B61014312
Gerència de Mobilitat i Infraestructures,Obres,22001009,2022,Buidatge i segellat entrada aigua Galeries 22@,17756.75,2022-04-11,2022-05-12,NEOPROOF SOLUCIONES INTEGRALES,B63230387
Gerència d'Area d'Ecologia Urbana,Serveis,22001256,2022,"Creació vídeo-mapping Expo Superilles, lloguer mat",18013.27,2022-04-12,2022-07-13,"NEXCODE DEVELOPMENT, SL",B66780495
Gerència de Recursos,Serveis,22001338,2022,Drets de reproducció fotografies,121.0,,,NYA INSTITUT D'ESTUDIS FOTOGRÀ,G60312642
Districte de Gràcia,Obres,22002033,2022,Obres adequació Torre Rellotge com espai visitable,36859.69,2022-06-17,2022-12-31,"OBRES I CONTRACTES PENTA, S.A.",A60514643
Districte de Nou Barris,Obres,22001578,2022,OBRES CONSTRUCCIÓ SORRAL PROV. PROSPE BEACH,48253.19,2022-05-13,2022-07-15,OBRES I PROJECTES CATALUNYA SL,B63182331
Districte de Gràcia,Obres,22002305,2022,Obres de nou pas de vianants al c/General Mendoza,24671.33,2022-07-01,2022-12-31,OBRES I PROJECTES CATALUNYA SL,B63182331
Districte de Sant Martí,Serveis,22001835,2022,Prev conductes / agressions oci nocturn 1/6-31/12,14870.0,2022-06-01,2023-01-31,OBSERVATORI CONTRA L'HOMOFOBIA,G66584376
Districte de Gràcia,Serveis,22002138,2022,Servei de suport en Comunicació Festa Major 2022,4114.0,2022-06-27,2022-08-29,OH LA LA COMUNICACIO SC,J65333122
Districte de Ciutat Vella,Serveis,22002071,2022,Modificació proj façana est pati tarongers,5384.5,2022-06-14,2022-11-30,ONDARA ARQUITECTURA SLP,B67275834
Districte de Nou Barris,Obres,22001171,2022,OBRES GATERA EXTERIOR ANTIGA ESCOLA BENJAMÍ,35059.82,2022-04-06,2022-07-08,OSERMA 1992 OBRAS Y SERVICIOS,B60009602
"Ger. Drets Socials, Just. Global, Femini",Obres,22001514,2022,Obres arranjament interior PIAD Ciutat Vella,48362.93,2022-05-06,2022-12-31,OSERMA 1992 OBRAS Y SERVICIOS,B60009602
Districte de Nou Barris,Obres,22001758,2022,REFORMA BANY I MILLORA ACCES. GRADES CF CANYELLES,11362.01,2022-05-25,2022-07-25,OSERMA 1992 OBRAS Y SERVICIOS,B60009602
Districte de Sant Andreu,Obres,22001954,2022,Millora pista entren.Equipament Poliesport.Sagrera,7234.72,2022-06-06,2022-10-03,OSERMA 1992 OBRAS Y SERVICIOS,B60009602
Districte de l'Eixample,Obres,22002029,2022,Obres vorera Viladomat entre Provença-Mallorca,48286.84,2022-06-10,2022-12-30,OSERMA 1992 OBRAS Y SERVICIOS,B60009602
Districte de Nou Barris,Serveis,22002142,2022,PROJ. INSTAL.LACIÓ CLIMA CASAL AVIS CASA NOSTRA,4719.0,2022-06-22,2022-12-31,"OTP SERVEIS D'ENGINYERIA, SL",B61679452
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001123,2022,Assessorament aplicació pla d'usos Eixample,17908.0,,,"OUA GAMMA, S.L.",B42929588
Gerència de Recursos,Serveis,22001357,2022,Ordenació documentació resolucions (fins 2022),6897.0,2022-05-03,2022-12-31,"PANDORA GESTIÓN DOCUMENTAL, S.",B05234059
Gerència de Recursos,Serveis,22001531,2022,Conservació i guarda catifes històriques AJT,18143.95,,,"PAPIOL ALFOMBRES, S.A.",A58782202
Gerència de Recursos,Serveis,22001434,2022,Serveis de càtering per al Govern Municipal,16692.5,,,PASTISSERIES FAIXAT SL,B08434250
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22002063,2022,senyalització edificis SiP,18133.06,2022-06-21,2022-12-31,PAUTA SEÑALETICA Y ARQUITECTUR,B61404455
Gerència de Recursos,Serveis,22001864,2022,CREACIÓ DEL CARTELL OFICIAL DE LA MERCÈ 2022,10890.0,,,PENCIL ILUSTRADORES SL,B47635271
Gerència de Mobilitat i Infraestructures,Serveis,22001421,2022,Finançament transport públic a Catalunya,13915.0,2022-05-04,2022-09-05,PERE LLEONART GABINET D'ESTUDI,A58599820
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001550,2022,Submin. material per a les galeries de tir GUB,16910.71,2022-05-14,2022-12-31,PERES SPORT S.L.,B61721643
Districte de Gràcia,Serveis,22001239,2022,Redacció projecte i DO cobriment pati annex Sedeta,6043.95,2022-04-13,2022-12-31,PEREZ-PIÑANA ARQUITECTES SCP,J66797812
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001762,2022,Submin. Cascos unitat ciclista GUB,546.0,,2022-12-31,"PEXAMAMIA,SL",B60209673
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001924,2022,3 Pàgines d'aterratge del web de Benestar Animal,3993.0,,,PIMPAMPUM SCP,J64427214
Districte de l'Eixample,Obres,22002028,2022,Obres d'ampliació pèrgola Pl.Gaudí,34226.96,2022-06-10,2022-12-31,PLANICER SL,B58075946
Districte de Sant Martí,Subministraments,22001118,2022,Subministrament mat.oficina biblioteca Gabriel G.M,3821.35,2022-04-09,2022-05-09,PMC GRUP 1985 SA,A58093816
Districte de Nou Barris,Subministraments,22001489,2022,SUBMINIST. EQUIPS AULA INFORMÀTICA TRINITAT NOVA,17279.86,2022-05-16,2022-07-15,PMC GRUP 1985 SA,A58093816
Districte de Sant Andreu,Obres,22001120,2022,OBRES COL. MOTOR PERSIANA ESPAI COM. BARO DE VIVER,5618.33,2022-04-14,2022-05-03,"POPULAR TARGET, SL",B66924762
Districte de Sant Andreu,Obres,22001309,2022,REFORMA I MILLORA ACCESSIBILITAT BANYS CC BON PAST,40946.65,2022-04-19,2022-06-17,"POPULAR TARGET, SL",B66924762
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22001354,2022,Pla d’iniciatives Grans Propietaris MES BCN,18029.0,2022-05-04,2022-07-31,PRICEWATERHOUSECOOPERS ASESORE,B78016375
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22001446,2022,Estudi impacte Polítiques Promoció Econòmica,17847.5,,,PRICEWATERHOUSECOOPERS ASESORE,B78016375
Districte de Sarrià - Sant Gervasi,Serveis,22001444,2022,TREBALLS TOPOGRAFICS MONT D'ORSA 55,3890.15,2022-05-02,2022-06-15,PRISMA GABINET TOPOGRÀFIC SL,B58561366
Gerència de l'Arquitecte en Cap,Serveis,22001260,2022,Anàlisi repercussió Superilla Sagrera-Navas,17557.1,2022-04-20,2022-07-21,"PROCOM RETAIL, SOCIEDAD LIMITA",B67020834
Districte de Sant Andreu,Subministraments,22002091,2022,"Compra pintura, eines i utillatges PIC's SA",17964.87,2022-06-16,2022-12-31,PRODUCTOS RALPE SL,B08664492
Districte de Nou Barris,Subministraments,22001473,2022,LLOGUER APLICATIU MOBERT,12356.51,2022-05-05,2022-08-05,PROGESS PROJEC.GESTIO SERVEIS,B59960526
Districte de Gràcia,Serveis,22001522,2022,Intervenció espai públic places Vila de Gràcia,16463.9,2022-06-01,2022-08-08,PROGESS PROJEC.GESTIO SERVEIS,B59960526
Districte de Gràcia,Subministraments,22001523,2022,Subministrar elements de fusta escales pg Turull,4175.71,2022-05-13,2022-07-13,PROJECTES I MANTENIMENTS ECOVE,B62289327
Gerència de Pressupostos i Hisenda,Serveis,22001950,2022,"SERVEI DE RECOLLIDA, RECOMPTE I INGRÉS L’EFECTIU",2000.0,,,PROSEGUR ESPAÑA SL,B86657640
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001708,2022,subministrament marxandatge SiP,14840.65,2022-05-25,2022-07-31,PUBLIREM SL,B59921627
Districte de Ciutat Vella,Serveis,22001206,2022,Servei producció i regidoria FM Raval i CAntic,5929.0,2022-04-08,2022-05-08,PUÇA ESPECTACLES SL,B63715767
Districte de Les Corts,Serveis,22001580,2022,Suport escènic Festa de la Primavera,4840.0,2022-05-11,2022-06-30,PUÇA ESPECTACLES SL,B63715767
Districte de Gràcia,Serveis,22001752,2022,Redacció manual condicions ancoratges Festa major,2904.0,2022-05-25,2022-06-25,Q STUDIO MANAGEMENT CONST.29 S,B67094912
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001168,2022,Suport redacció i elaboració Marc Estratègic i PAJ,14133.41,2022-04-06,2022-07-31,QSL SERVEIS CULTURALS S.L.,B60641925
Districte d' Horta-Guinardó,Serveis,22001133,2022,Activitats per preadolescents,7000.0,2022-05-10,2022-06-30,QSL SERVEIS CULTURALS S.L.,B60641925
Gerència de l'Arquitecte en Cap,Serveis,22001117,2022,Disseny mobiliari jugable entorns escolars,18029.0,2022-04-01,2022-10-01,"QUERALT SUAU, SL",B05455944
